grid_lat,grid_lon,date,fire_count,frp_sum,frp_mean,frp_max,fire_occurred
29.0,73.125,2024-11-29,2,4.47,2.235,2.34,1
29.0,73.125,2024-12-03,2,4.47,2.235,2.42,1
29.0,73.125,2024-12-04,1,1.85,1.85,1.85,1
29.0,73.125,2025-04-26,1,22.69,22.69,22.69,1
29.0,73.125,2025-04-28,1,2.54,2.54,2.54,1
29.0,73.125,2025-04-30,3,8.09,2.6966666666666668,4.58,1
29.0,73.125,2025-05-01,1,1.95,1.95,1.95,1
29.0,73.125,2025-05-02,1,2.07,2.07,2.07,1
29.0,73.125,2025-06-01,1,3.41,3.41,3.41,1
29.0,73.125,2025-09-29,1,3.15,3.15,3.15,1
29.0,73.125,2025-10-05,1,1.22,1.22,1.22,1
29.0,73.125,2025-10-15,1,2.55,2.55,2.55,1
29.0,73.125,2025-10-26,1,3.02,3.02,3.02,1
29.0,73.125,2025-11-02,1,1.77,1.77,1.77,1
29.0,73.125,2025-11-03,1,5.77,5.77,5.77,1
29.0,73.125,2025-11-05,4,54.739999999999995,13.684999999999999,26.93,1
29.0,73.125,2025-11-06,1,1.37,1.37,1.37,1
29.0,73.125,2025-11-08,3,8.32,2.7733333333333334,4.27,1
29.0,73.125,2025-11-09,5,53.68000000000001,10.736,19.07,1
29.0,73.125,2025-11-10,7,24.35,3.4785714285714286,6.25,1
29.0,73.125,2025-11-11,8,50.65,6.33125,10.9,1
29.0,73.125,2025-11-13,7,63.36,9.051428571428572,14.61,1
29.0,73.125,2025-11-14,1,4.65,4.65,4.65,1
29.0,73.125,2025-11-15,8,43.68,5.46,11.34,1
29.0,73.125,2025-11-16,1,16.39,16.39,16.39,1
29.0,73.125,2025-11-18,1,4.79,4.79,4.79,1
29.0,73.125,2025-11-19,1,5.92,5.92,5.92,1
29.0,73.125,2025-11-20,1,3.48,3.48,3.48,1
29.0,73.125,2025-11-21,1,1.75,1.75,1.75,1
29.0,73.125,2025-11-24,2,12.46,6.23,7.74,1
29.0,73.75,2023-02-09,1,6.32,6.32,6.32,1
29.0,73.75,2023-04-24,1,2.08,2.08,2.08,1
29.0,73.75,2023-04-26,1,4.72,4.72,4.72,1
29.0,73.75,2023-04-27,1,7.37,7.37,7.37,1
29.0,73.75,2023-05-20,1,3.35,3.35,3.35,1
29.0,73.75,2023-11-03,3,17.46,5.82,8.61,1
29.0,73.75,2023-11-05,1,6.18,6.18,6.18,1
29.0,73.75,2023-11-06,2,8.370000000000001,4.1850000000000005,5.5,1
29.0,73.75,2023-11-07,4,29.82,7.455,13.59,1
29.0,73.75,2023-11-11,1,2.84,2.84,2.84,1
29.0,73.75,2023-11-15,4,12.84,3.21,5.08,1
29.0,73.75,2023-11-20,1,5.59,5.59,5.59,1
29.0,73.75,2023-11-22,2,5.54,2.77,3.46,1
29.0,73.75,2024-03-25,1,4.83,4.83,4.83,1
29.0,73.75,2024-04-27,1,4.25,4.25,4.25,1
29.0,73.75,2024-05-02,1,6.51,6.51,6.51,1
29.0,73.75,2024-05-04,2,5.3,2.65,3.25,1
29.0,73.75,2024-05-07,1,14.22,14.22,14.22,1
29.0,73.75,2024-05-14,1,1.59,1.59,1.59,1
29.0,73.75,2024-05-22,1,1.15,1.15,1.15,1
29.0,73.75,2024-10-26,1,2.35,2.35,2.35,1
29.0,73.75,2024-11-01,2,8.76,4.38,4.38,1
29.0,73.75,2024-11-07,11,60.14,5.467272727272728,10.33,1
29.0,73.75,2024-11-08,5,12.59,2.518,2.86,1
29.0,73.75,2024-11-09,1,8.04,8.04,8.04,1
29.0,73.75,2024-11-10,1,6.58,6.58,6.58,1
29.0,73.75,2024-11-11,4,30.919999999999998,7.7299999999999995,18.18,1
29.0,73.75,2024-11-12,2,7.76,3.88,3.88,1
29.0,73.75,2024-11-14,2,15.45,7.725,10.75,1
29.0,73.75,2024-11-15,1,11.38,11.38,11.38,1
29.0,73.75,2024-11-16,2,13.190000000000001,6.595000000000001,9.24,1
29.0,73.75,2024-11-17,4,15.739999999999998,3.9349999999999996,4.64,1
29.0,73.75,2024-11-18,7,26.25,3.75,6.64,1
29.0,73.75,2024-11-19,4,16.04,4.01,6.61,1
29.0,73.75,2024-11-22,1,11.05,11.05,11.05,1
29.0,73.75,2024-11-24,1,15.24,15.24,15.24,1
29.0,73.75,2024-11-28,1,1.31,1.31,1.31,1
29.0,73.75,2024-12-02,1,2.65,2.65,2.65,1
29.0,73.75,2025-01-26,1,2.23,2.23,2.23,1
29.0,73.75,2025-04-12,1,13.41,13.41,13.41,1
29.0,73.75,2025-04-29,2,9.33,4.665,6.26,1
29.0,73.75,2025-04-30,3,18.52,6.173333333333333,8.12,1
29.0,73.75,2025-05-04,2,1.04,0.52,0.61,1
29.0,73.75,2025-05-10,2,12.13,6.065,6.19,1
29.0,73.75,2025-09-11,1,4.12,4.12,4.12,1
29.0,73.75,2025-10-30,1,3.74,3.74,3.74,1
29.0,73.75,2025-10-31,1,1.22,1.22,1.22,1
29.0,73.75,2025-11-02,2,7.1,3.55,3.55,1
29.0,73.75,2025-11-03,2,12.95,6.475,6.94,1
29.0,73.75,2025-11-04,3,18.89,6.296666666666667,12.08,1
29.0,73.75,2025-11-05,8,92.68,11.585,30.26,1
29.0,73.75,2025-11-06,3,26.68,8.893333333333333,15.01,1
29.0,73.75,2025-11-07,3,27.89,9.296666666666667,16.77,1
29.0,73.75,2025-11-08,2,11.48,5.74,9.48,1
29.0,73.75,2025-11-10,6,42.57,7.095,19.15,1
29.0,73.75,2025-11-11,2,11.32,5.66,5.79,1
29.0,73.75,2025-11-13,6,37.6,6.266666666666667,8.4,1
29.0,73.75,2025-11-14,5,22.66,4.532,7.57,1
29.0,73.75,2025-11-15,3,44.42,14.806666666666667,37.28,1
29.0,73.75,2025-11-16,4,61.19,15.2975,28.45,1
29.0,73.75,2025-11-17,1,10.78,10.78,10.78,1
29.0,73.75,2025-11-18,3,36.05,12.016666666666666,17.91,1
29.0,73.75,2025-11-20,1,3.41,3.41,3.41,1
29.0,73.75,2025-11-22,3,10.76,3.5866666666666664,5.49,1
29.0,73.75,2025-11-24,3,21.84,7.28,10.51,1
29.0,73.75,2025-12-21,1,1.97,1.97,1.97,1
29.0,74.375,2023-04-20,1,3.7,3.7,3.7,1
29.0,74.375,2023-04-24,2,26.46,13.23,18.93,1
29.0,74.375,2023-05-10,1,7.78,7.78,7.78,1
29.0,74.375,2023-06-03,1,7.04,7.04,7.04,1
29.0,74.375,2023-10-11,1,13.95,13.95,13.95,1
29.0,74.375,2023-12-17,1,3.15,3.15,3.15,1
29.0,74.375,2024-03-20,1,5.53,5.53,5.53,1
29.0,74.375,2024-05-06,1,16.64,16.64,16.64,1
29.0,74.375,2024-09-23,1,2.4,2.4,2.4,1
29.0,74.375,2025-04-18,1,1.96,1.96,1.96,1
29.0,74.375,2025-04-23,1,2.4,2.4,2.4,1
29.0,74.375,2025-04-24,3,9.55,3.1833333333333336,5.98,1
29.0,74.375,2025-09-16,1,1.31,1.31,1.31,1
29.0,74.375,2025-10-30,1,1.87,1.87,1.87,1
29.0,74.375,2025-11-10,1,2.8,2.8,2.8,1
29.0,74.375,2025-11-11,2,6.77,3.385,3.91,1
29.0,74.375,2025-11-16,1,1.59,1.59,1.59,1
29.0,74.375,2025-11-17,1,2.28,2.28,2.28,1
29.0,74.375,2025-11-19,1,3.9,3.9,3.9,1
29.0,74.375,2025-11-21,1,2.35,2.35,2.35,1
29.0,75.0,2023-02-07,1,2.72,2.72,2.72,1
29.0,75.0,2023-11-23,1,2.14,2.14,2.14,1
29.0,75.0,2023-12-17,1,2.76,2.76,2.76,1
29.0,75.0,2024-02-19,4,98.44999999999999,24.612499999999997,49.79,1
29.0,75.0,2025-02-13,2,24.28,12.14,12.14,1
29.0,75.0,2025-03-08,1,0.6,0.6,0.6,1
29.0,75.0,2025-04-27,1,0.69,0.69,0.69,1
29.0,75.0,2025-04-30,1,2.88,2.88,2.88,1
29.0,75.625,2023-01-12,1,6.5,6.5,6.5,1
29.0,75.625,2023-01-14,1,1.06,1.06,1.06,1
29.0,75.625,2023-01-16,1,4.94,4.94,4.94,1
29.0,75.625,2023-01-17,1,3.04,3.04,3.04,1
29.0,75.625,2023-01-20,2,2.3,1.15,1.16,1
29.0,75.625,2023-01-22,2,13.17,6.585,9.18,1
29.0,75.625,2023-02-02,3,3.08,1.0266666666666666,1.75,1
29.0,75.625,2023-02-04,2,6.57,3.285,3.89,1
29.0,75.625,2023-02-05,1,0.58,0.58,0.58,1
29.0,75.625,2023-02-06,1,0.42,0.42,0.42,1
29.0,75.625,2023-02-07,3,6.43,2.143333333333333,3.77,1
29.0,75.625,2023-02-08,1,4.09,4.09,4.09,1
29.0,75.625,2023-02-10,1,0.56,0.56,0.56,1
29.0,75.625,2023-02-12,4,10.06,2.515,5.95,1
29.0,75.625,2023-02-13,3,20.759999999999998,6.919999999999999,10.12,1
29.0,75.625,2023-02-14,1,2.7,2.7,2.7,1
29.0,75.625,2023-02-20,1,1.37,1.37,1.37,1
29.0,75.625,2023-02-23,2,14.87,7.435,10.86,1
29.0,75.625,2023-03-05,2,1.13,0.565,0.77,1
29.0,75.625,2023-03-10,2,1.51,0.755,1.07,1
29.0,75.625,2023-03-14,1,1.41,1.41,1.41,1
29.0,75.625,2023-04-01,1,0.68,0.68,0.68,1
29.0,75.625,2023-04-06,2,1.68,0.84,0.94,1
29.0,75.625,2023-04-07,1,1.37,1.37,1.37,1
29.0,75.625,2023-04-10,2,5.4799999999999995,2.7399999999999998,4.64,1
29.0,75.625,2023-04-13,1,4.53,4.53,4.53,1
29.0,75.625,2023-04-14,1,5.64,5.64,5.64,1
29.0,75.625,2023-04-17,1,6.91,6.91,6.91,1
29.0,75.625,2023-04-20,1,3.35,3.35,3.35,1
29.0,75.625,2023-04-21,1,1.08,1.08,1.08,1
29.0,75.625,2023-04-22,3,13.83,4.61,5.89,1
29.0,75.625,2023-04-24,1,2.81,2.81,2.81,1
29.0,75.625,2023-04-27,6,65.35000000000001,10.891666666666667,27.37,1
29.0,75.625,2023-05-01,1,1.13,1.13,1.13,1
29.0,75.625,2023-05-02,1,3.84,3.84,3.84,1
29.0,75.625,2023-05-04,6,21.17,3.5283333333333338,4.37,1
29.0,75.625,2023-05-05,10,40.57,4.057,6.25,1
29.0,75.625,2023-05-06,6,18.560000000000002,3.0933333333333337,4.11,1
29.0,75.625,2023-05-07,4,21.97,5.4925,10.91,1
29.0,75.625,2023-05-08,3,23.2,7.733333333333333,9.61,1
29.0,75.625,2023-05-09,1,0.59,0.59,0.59,1
29.0,75.625,2023-05-12,1,25.78,25.78,25.78,1
29.0,75.625,2023-05-13,2,10.420000000000002,5.210000000000001,5.98,1
29.0,75.625,2023-05-15,1,7.25,7.25,7.25,1
29.0,75.625,2023-05-18,1,1.02,1.02,1.02,1
29.0,75.625,2023-05-19,2,2.2800000000000002,1.1400000000000001,1.19,1
29.0,75.625,2023-05-21,1,6.91,6.91,6.91,1
29.0,75.625,2023-05-24,1,7.48,7.48,7.48,1
29.0,75.625,2023-06-03,1,0.77,0.77,0.77,1
29.0,75.625,2023-06-06,1,0.55,0.55,0.55,1
29.0,75.625,2023-06-07,1,2.32,2.32,2.32,1
29.0,75.625,2023-06-14,1,1.46,1.46,1.46,1
29.0,75.625,2023-06-29,2,3.92,1.96,2.16,1
29.0,75.625,2023-08-04,1,0.59,0.59,0.59,1
29.0,75.625,2023-08-11,1,0.63,0.63,0.63,1
29.0,75.625,2023-08-12,1,1.19,1.19,1.19,1
29.0,75.625,2023-08-17,1,1.39,1.39,1.39,1
29.0,75.625,2023-08-28,3,7.45,2.4833333333333334,2.87,1
29.0,75.625,2023-08-29,1,1.38,1.38,1.38,1
29.0,75.625,2023-09-02,2,4.14,2.07,2.86,1
29.0,75.625,2023-09-08,1,1.83,1.83,1.83,1
29.0,75.625,2023-09-09,1,7.29,7.29,7.29,1
29.0,75.625,2023-09-12,1,1.26,1.26,1.26,1
29.0,75.625,2023-09-13,2,3.2699999999999996,1.6349999999999998,2.13,1
29.0,75.625,2023-09-15,1,10.25,10.25,10.25,1
29.0,75.625,2023-09-21,1,1.53,1.53,1.53,1
29.0,75.625,2023-09-23,2,6.470000000000001,3.2350000000000003,5.16,1
29.0,75.625,2023-09-24,1,0.92,0.92,0.92,1
29.0,75.625,2023-09-27,1,2.99,2.99,2.99,1
29.0,75.625,2023-09-28,2,2.7800000000000002,1.3900000000000001,1.5,1
29.0,75.625,2023-09-29,1,0.89,0.89,0.89,1
29.0,75.625,2023-10-08,2,6.99,3.495,5.16,1
29.0,75.625,2023-10-09,1,2.2,2.2,2.2,1
29.0,75.625,2023-10-10,1,1.47,1.47,1.47,1
29.0,75.625,2023-10-12,1,0.68,0.68,0.68,1
29.0,75.625,2023-10-13,1,1.13,1.13,1.13,1
29.0,75.625,2023-10-14,1,1.05,1.05,1.05,1
29.0,75.625,2023-10-15,2,5.2,2.6,3.99,1
29.0,75.625,2023-10-16,2,1.52,0.76,0.76,1
29.0,75.625,2023-10-19,2,5.26,2.63,4.06,1
29.0,75.625,2023-10-22,1,0.49,0.49,0.49,1
29.0,75.625,2023-10-24,1,0.88,0.88,0.88,1
29.0,75.625,2023-10-25,1,1.32,1.32,1.32,1
29.0,75.625,2023-10-26,1,1.42,1.42,1.42,1
29.0,75.625,2023-10-28,1,0.97,0.97,0.97,1
29.0,75.625,2023-10-29,1,4.64,4.64,4.64,1
29.0,75.625,2023-10-30,1,0.93,0.93,0.93,1
29.0,75.625,2023-10-31,1,0.98,0.98,0.98,1
29.0,75.625,2023-11-01,2,4.92,2.46,3.0,1
29.0,75.625,2023-11-03,1,0.81,0.81,0.81,1
29.0,75.625,2023-11-04,1,1.07,1.07,1.07,1
29.0,75.625,2023-11-05,1,2.61,2.61,2.61,1
29.0,75.625,2023-11-06,1,3.14,3.14,3.14,1
29.0,75.625,2023-11-14,2,6.76,3.38,5.58,1
29.0,75.625,2023-11-15,2,1.75,0.875,0.92,1
29.0,75.625,2023-11-17,1,1.29,1.29,1.29,1
29.0,75.625,2023-11-22,1,1.85,1.85,1.85,1
29.0,75.625,2023-11-23,2,6.949999999999999,3.4749999999999996,3.69,1
29.0,75.625,2023-11-27,1,0.92,0.92,0.92,1
29.0,75.625,2023-11-28,2,2.2399999999999998,1.1199999999999999,1.42,1
29.0,75.625,2023-12-01,1,0.41,0.41,0.41,1
29.0,75.625,2023-12-02,2,2.5,1.25,1.44,1
29.0,75.625,2023-12-03,1,1.09,1.09,1.09,1
29.0,75.625,2023-12-06,1,1.17,1.17,1.17,1
29.0,75.625,2023-12-07,1,7.88,7.88,7.88,1
29.0,75.625,2023-12-09,1,0.85,0.85,0.85,1
29.0,75.625,2023-12-11,1,4.71,4.71,4.71,1
29.0,75.625,2023-12-12,1,0.71,0.71,0.71,1
29.0,75.625,2023-12-17,1,1.14,1.14,1.14,1
29.0,75.625,2023-12-23,1,1.06,1.06,1.06,1
29.0,75.625,2024-02-07,2,3.5199999999999996,1.7599999999999998,2.28,1
29.0,75.625,2024-02-08,1,1.0,1.0,1.0,1
29.0,75.625,2024-02-09,2,2.24,1.12,1.57,1
29.0,75.625,2024-02-10,1,0.45,0.45,0.45,1
29.0,75.625,2024-02-11,2,1.88,0.94,0.95,1
29.0,75.625,2024-02-12,1,1.11,1.11,1.11,1
29.0,75.625,2024-02-13,1,0.98,0.98,0.98,1
29.0,75.625,2024-02-15,1,1.78,1.78,1.78,1
29.0,75.625,2024-02-16,1,1.0,1.0,1.0,1
29.0,75.625,2024-02-19,2,2.1500000000000004,1.0750000000000002,1.6,1
29.0,75.625,2024-02-22,1,0.46,0.46,0.46,1
29.0,75.625,2024-02-24,1,1.06,1.06,1.06,1
29.0,75.625,2024-02-28,3,6.21,2.07,2.37,1
29.0,75.625,2024-03-02,2,1.54,0.77,1.15,1
29.0,75.625,2024-03-06,1,0.74,0.74,0.74,1
29.0,75.625,2024-03-07,3,9.280000000000001,3.0933333333333337,6.32,1
29.0,75.625,2024-03-08,1,1.39,1.39,1.39,1
29.0,75.625,2024-03-12,1,1.03,1.03,1.03,1
29.0,75.625,2024-03-16,2,0.98,0.49,0.49,1
29.0,75.625,2024-03-17,2,1.44,0.72,0.95,1
29.0,75.625,2024-03-28,2,0.96,0.48,0.76,1
29.0,75.625,2024-03-29,1,0.55,0.55,0.55,1
29.0,75.625,2024-03-31,1,1.25,1.25,1.25,1
29.0,75.625,2024-04-01,1,0.57,0.57,0.57,1
29.0,75.625,2024-04-06,1,1.19,1.19,1.19,1
29.0,75.625,2024-04-07,1,1.24,1.24,1.24,1
29.0,75.625,2024-04-08,1,1.21,1.21,1.21,1
29.0,75.625,2024-04-18,1,1.04,1.04,1.04,1
29.0,75.625,2024-04-19,1,1.04,1.04,1.04,1
29.0,75.625,2024-04-22,1,1.04,1.04,1.04,1
29.0,75.625,2024-04-23,1,1.35,1.35,1.35,1
29.0,75.625,2024-04-25,1,2.4,2.4,2.4,1
29.0,75.625,2024-04-28,1,5.7,5.7,5.7,1
29.0,75.625,2024-04-29,1,1.22,1.22,1.22,1
29.0,75.625,2024-04-30,1,0.73,0.73,0.73,1
29.0,75.625,2024-05-01,3,9.68,3.2266666666666666,3.79,1
29.0,75.625,2024-05-02,4,28.650000000000002,7.1625000000000005,11.21,1
29.0,75.625,2024-05-03,1,4.56,4.56,4.56,1
29.0,75.625,2024-05-04,2,6.609999999999999,3.3049999999999997,5.31,1
29.0,75.625,2024-05-05,2,9.51,4.755,7.53,1
29.0,75.625,2024-05-06,1,7.97,7.97,7.97,1
29.0,75.625,2024-05-07,5,49.83,9.966,16.99,1
29.0,75.625,2024-05-08,5,21.28,4.256,5.32,1
29.0,75.625,2024-05-09,5,26.59,5.318,6.36,1
29.0,75.625,2024-05-10,5,19.9,3.9799999999999995,5.84,1
29.0,75.625,2024-05-12,4,18.73,4.6825,8.72,1
29.0,75.625,2024-05-13,4,33.010000000000005,8.252500000000001,17.26,1
29.0,75.625,2024-05-14,5,55.97,11.193999999999999,19.78,1
29.0,75.625,2024-05-15,7,30.91,4.4157142857142855,10.99,1
29.0,75.625,2024-05-16,2,8.19,4.095,4.18,1
29.0,75.625,2024-05-17,1,8.65,8.65,8.65,1
29.0,75.625,2024-05-18,1,5.82,5.82,5.82,1
29.0,75.625,2024-05-19,1,10.78,10.78,10.78,1
29.0,75.625,2024-05-22,1,6.95,6.95,6.95,1
29.0,75.625,2024-05-23,1,5.32,5.32,5.32,1
29.0,75.625,2024-05-24,1,6.1,6.1,6.1,1
29.0,75.625,2024-05-26,1,1.36,1.36,1.36,1
29.0,75.625,2024-06-10,2,5.63,2.815,3.13,1
29.0,75.625,2024-06-11,1,2.79,2.79,2.79,1
29.0,75.625,2024-06-14,1,3.49,3.49,3.49,1
29.0,75.625,2024-06-15,1,2.32,2.32,2.32,1
29.0,75.625,2024-06-16,2,2.8899999999999997,1.4449999999999998,1.46,1
29.0,75.625,2024-07-04,1,0.5,0.5,0.5,1
29.0,75.625,2024-08-03,1,0.67,0.67,0.67,1
29.0,75.625,2024-08-13,1,3.92,3.92,3.92,1
29.0,75.625,2024-09-07,1,1.49,1.49,1.49,1
29.0,75.625,2024-09-19,1,1.54,1.54,1.54,1
29.0,75.625,2024-09-24,1,0.99,0.99,0.99,1
29.0,75.625,2024-09-30,1,1.89,1.89,1.89,1
29.0,75.625,2024-10-01,1,1.14,1.14,1.14,1
29.0,75.625,2024-10-05,1,1.17,1.17,1.17,1
29.0,75.625,2024-10-06,1,0.72,0.72,0.72,1
29.0,75.625,2024-10-08,1,0.8,0.8,0.8,1
29.0,75.625,2024-10-10,1,1.31,1.31,1.31,1
29.0,75.625,2024-10-12,1,3.37,3.37,3.37,1
29.0,75.625,2024-10-16,2,0.78,0.39,0.51,1
29.0,75.625,2024-10-17,1,1.5,1.5,1.5,1
29.0,75.625,2024-10-19,1,9.52,9.52,9.52,1
29.0,75.625,2024-10-21,1,1.45,1.45,1.45,1
29.0,75.625,2024-10-25,3,8.959999999999999,2.9866666666666664,6.81,1
29.0,75.625,2024-10-27,1,0.84,0.84,0.84,1
29.0,75.625,2024-10-28,2,7.79,3.895,3.95,1
29.0,75.625,2024-10-29,1,1.74,1.74,1.74,1
29.0,75.625,2024-10-31,1,4.66,4.66,4.66,1
29.0,75.625,2024-11-01,3,57.07,19.023333333333333,49.32,1
29.0,75.625,2024-11-02,2,5.8100000000000005,2.9050000000000002,3.02,1
29.0,75.625,2024-11-07,3,9.19,3.063333333333333,3.21,1
29.0,75.625,2024-11-08,1,3.92,3.92,3.92,1
29.0,75.625,2024-11-17,2,1.38,0.69,1.0,1
29.0,75.625,2024-11-18,1,1.28,1.28,1.28,1
29.0,75.625,2024-11-20,2,5.5600000000000005,2.7800000000000002,4.75,1
29.0,75.625,2024-11-23,5,11.629999999999999,2.3259999999999996,4.01,1
29.0,75.625,2024-11-24,2,2.49,1.245,1.26,1
29.0,75.625,2024-11-25,1,4.79,4.79,4.79,1
29.0,75.625,2024-11-28,1,3.31,3.31,3.31,1
29.0,75.625,2024-11-29,2,1.42,0.71,0.78,1
29.0,75.625,2024-11-30,1,1.04,1.04,1.04,1
29.0,75.625,2024-12-01,1,3.97,3.97,3.97,1
29.0,75.625,2024-12-03,1,4.2,4.2,4.2,1
29.0,75.625,2024-12-04,4,12.02,3.005,4.5,1
29.0,75.625,2024-12-05,2,4.41,2.205,3.48,1
29.0,75.625,2024-12-07,1,6.54,6.54,6.54,1
29.0,75.625,2024-12-08,1,19.8,19.8,19.8,1
29.0,75.625,2024-12-09,1,0.86,0.86,0.86,1
29.0,75.625,2024-12-10,2,5.87,2.935,4.69,1
29.0,75.625,2024-12-11,3,18.29,6.096666666666667,16.9,1
29.0,75.625,2024-12-12,2,1.1,0.55,0.6,1
29.0,75.625,2024-12-14,1,1.45,1.45,1.45,1
29.0,75.625,2024-12-15,1,0.71,0.71,0.71,1
29.0,75.625,2024-12-20,1,1.08,1.08,1.08,1
29.0,75.625,2024-12-25,1,0.85,0.85,0.85,1
29.0,75.625,2024-12-26,2,4.52,2.26,2.37,1
29.0,75.625,2025-01-07,1,1.16,1.16,1.16,1
29.0,75.625,2025-01-13,2,1.5699999999999998,0.7849999999999999,1.13,1
29.0,75.625,2025-01-20,1,2.66,2.66,2.66,1
29.0,75.625,2025-01-23,1,1.24,1.24,1.24,1
29.0,75.625,2025-01-25,1,0.85,0.85,0.85,1
29.0,75.625,2025-01-26,2,4.7,2.35,3.59,1
29.0,75.625,2025-01-27,1,4.73,4.73,4.73,1
29.0,75.625,2025-01-28,3,6.1899999999999995,2.063333333333333,4.0,1
29.0,75.625,2025-01-30,1,1.43,1.43,1.43,1
29.0,75.625,2025-02-06,1,0.8,0.8,0.8,1
29.0,75.625,2025-02-07,1,1.0,1.0,1.0,1
29.0,75.625,2025-02-11,1,0.87,0.87,0.87,1
29.0,75.625,2025-02-12,1,1.4,1.4,1.4,1
29.0,75.625,2025-02-13,1,2.21,2.21,2.21,1
29.0,75.625,2025-02-15,1,1.26,1.26,1.26,1
29.0,75.625,2025-02-16,2,1.93,0.965,1.24,1
29.0,75.625,2025-02-18,1,0.84,0.84,0.84,1
29.0,75.625,2025-02-20,1,1.08,1.08,1.08,1
29.0,75.625,2025-02-21,2,1.3,0.65,0.75,1
29.0,75.625,2025-03-01,1,0.63,0.63,0.63,1
29.0,75.625,2025-03-02,1,0.79,0.79,0.79,1
29.0,75.625,2025-03-06,1,1.06,1.06,1.06,1
29.0,75.625,2025-03-10,1,0.85,0.85,0.85,1
29.0,75.625,2025-03-11,1,0.89,0.89,0.89,1
29.0,75.625,2025-03-15,1,0.9,0.9,0.9,1
29.0,75.625,2025-03-16,2,4.470000000000001,2.2350000000000003,2.95,1
29.0,75.625,2025-03-17,1,0.6,0.6,0.6,1
29.0,75.625,2025-03-19,1,0.75,0.75,0.75,1
29.0,75.625,2025-03-20,1,0.99,0.99,0.99,1
29.0,75.625,2025-03-22,1,1.64,1.64,1.64,1
29.0,75.625,2025-03-25,1,0.81,0.81,0.81,1
29.0,75.625,2025-03-26,1,0.87,0.87,0.87,1
29.0,75.625,2025-03-28,2,1.73,0.865,0.88,1
29.0,75.625,2025-03-30,1,0.88,0.88,0.88,1
29.0,75.625,2025-03-31,1,0.63,0.63,0.63,1
29.0,75.625,2025-04-02,1,0.72,0.72,0.72,1
29.0,75.625,2025-04-04,1,0.97,0.97,0.97,1
29.0,75.625,2025-04-05,1,0.18,0.18,0.18,1
29.0,75.625,2025-04-06,2,3.5700000000000003,1.7850000000000001,2.31,1
29.0,75.625,2025-04-10,1,0.31,0.31,0.31,1
29.0,75.625,2025-04-15,1,2.59,2.59,2.59,1
29.0,75.625,2025-04-16,1,0.89,0.89,0.89,1
